company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Cloud startup GPUnet,,AI,Series A,funding,Cloud startup GPUnet raises $5.25m in Series A round,,$5.25M,2024-04-13,Suraj Chawla,founder,datacenterdynamics.com,https://www.datacenterdynamics.com/en/news/cloud-startup-gpunet-raises-525m-in-series-a-round/,Raised a $5.25M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-09,High
Prime Intellect,,AI,Series A,funding,Prime Intellect raises $130M Series A to help enterprises build their own AI agents,,$130M,2026-07-08,long list of angel investors who are,founder,TechCrunch,https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/ | https://cryptobriefing.com/prime-intellect-130m-series-a-billion-valuation/ | https://www.msn.com/en-us/news/technology/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/ar-AA27vdtO,Raised a $130M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-09,High
Deeptech Startup eNLife,,AI,Seed,funding,Deeptech Startup eNLife Raises Rs 6 Crore Seed Funding Led by Piper Serica,,,2026-07-09,said Dr Deepak Kumaran Nair,Co-founder,ciol.com,https://www.ciol.com/funding-acquistion-merger/deeptech-startup-enlife-raises-rs-6-crore-seed-funding-led-by-piper-serica-12148745,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-09,High
Alta,,AI,Series A,funding,Alta Raises $25M Series A to Build an AI-Native Operating Layer for Revenue Teams,,$25M,2026-07-08,,,unite.ai,https://www.unite.ai/alta-raises-25m-series-a-to-build-an-ai-native-operating-layer-for-revenue-teams/,Raised a $25M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-09,High
Israeli AI Startup,,AI,Seed,funding,Israeli AI Startup Raises $27 Million In Funding,,$27M,2026-07-08,,,mediapost.com,https://www.mediapost.com/publications/article/416403/israeli-ai-startup-raises-27-million-in-funding.html,Raised a $27M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-09,High
Keyper,,Fintech,Series A,funding,Keyper raises US$11mln Series A to scale monthly rent payments and digital real estate infrastructure across the UAE,,$11M,2026-07-08,,,zawya.com,https://www.zawya.com/en/press-release/companies-news/keyper-raises-us11mln-series-a-to-scale-monthly-rent-payments-and-digital-real-estate-infrastructure-across-the-uae-ygbsjplg,Raised a $11M Series A round for a Fintech platform. This signals active growth and potential need for content and marketing.,80,2026-07-09,High
AI-based fincrime startup Tangos,,AI,Seed,funding,AI-based fincrime startup Tangos raises $20 million,,$20M,2026-07-09,,,finextra.com,https://www.finextra.com/newsarticle/48062/ai-based-fincrime-startup-tangos-raises-20-million,Raised a $20M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-09,High
Mowito,,AI,Pre-Seed,funding,Mowito Raises $3 Million To Scale Physical AI For Manufacturing,,$3M,2026-07-07,Adarsh Kulkarni,Founder,ciol.com,https://www.ciol.com/funding-acquistion-merger/mowito-raises-3-million-to-scale-physical-ai-for-manufacturing-12142499,Raised a $3M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-09,Low
Physical AI startup Hakimo,,AI,Pre-Seed,funding,Physical AI startup Hakimo raises $12 Mn,,$12M,2026-07-09,Founded by Indian origin,co-founder,entrackr.com,https://entrackr.com/news/physical-ai-startup-hakimo-raises-12-mn-12148341,Raised a $12M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-09,Low
Crypto VC firm Paradigm,,AI,,funding,Crypto VC firm Paradigm raises $1.2B to invest in ‘technical frontier’ startups,,$1.2B,2026-07-08,Matt Huang announced Wednesday,,TechCrunch,https://techcrunch.com/2026/07/08/crypto-vc-firm-paradigm-raises-1-2b-to-invest-in-technical-frontier-startups/,Raised $1.2B in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-07-09,Low
German AI workforce management startup Sherpa,,AI,Pre-Seed,funding,German AI workforce management startup Sherpa raises $2.2M pre-seed,,$2.2M,2026-07-09,,,tech.eu,https://tech.eu/2026/07/09/german-ai-workforce-management-startup-sherpa-raises-22m-pre-seed/,Raised a $2.2M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-07-09,Low
KAST,,Cybersecurity,,hiring,"Hiring: Content Lead | Location: New York, New York, New York, United States",Content Lead,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-social-content-lead-kast-1134618,Hiring a Content Lead at a Cybersecurity company. This suggests investment in content and market education.,50,2026-07-09,Low
Digital,,Cybersecurity,,hiring,"Hiring: Social Media Manager | Location: Pennsylvania, Pennsylvania, United States",Social Media Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-social-media-manager-digital-1134621,Hiring a Social Media Manager at a Cybersecurity company. This suggests investment in content and market education.,50,2026-07-09,Low
Once Upon a Farm,,Cybersecurity,,hiring,Hiring: Social Media Manager | Location: Los Angeles Metropolitan Area,Social Media Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-social-media-manager-tiktok-and-founder-once-upon-a-farm-1134578,Hiring a Social Media Manager at a Cybersecurity company. This suggests investment in content and market education.,50,2026-07-09,Low
Ramen Bae,,,,hiring,"Hiring: Creative Strategist | Location: California, California, United States",Creative Strategist,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-creative-strategist-ramen-bae-1134585,Hiring a Creative Strategist. This suggests investment in content and market education.,30,2026-07-09,Low
