company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Valarian,,AI,Series A,funding,Valarian Raises $50 Million Series a Led by NEA to Deliver the Sovereign Infrastructure Layer for High-Consequence Operations and AI Driven Systems,,$50M,2026-07-05,said Max Buchan,CEO,finanznachrichten.de,https://www.finanznachrichten.de/nachrichten-2026-07/69015414-valarian-raises-dollar-50-million-series-a-led-by-nea-to-deliver-the-sovereign-infrastructure-layer-for-high-consequence-operations-and-ai-driven-systems-004.htm,Raised a $50M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-14,High
Emerge Career,,HR Tech,Series A,hiring,"Hiring: Creative Director & Videographer | Location: New York, NY, US | YC S22",Videographer / Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94533 | https://www.workatastartup.com/jobs/98429,Hiring a Videographer at a Series A HR Tech company. This suggests investment in content and market education.,80,2026-07-14,High
Didit,,Cloud,Seed,hiring,"Hiring: Growth Marketer | Location: San Francisco, CA, US | YC W26",Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/96452,Hiring a Growth Marketer at a Seed Cloud company. This suggests investment in content and market education.,80,2026-07-14,High
Craniometrix,,AI,Series A,hiring,"Hiring: Growth Marketer (Demand Gen) | Location: New York, NY, US | YC W22",Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/96160,Hiring a Growth Marketer at a Series A AI company. This suggests investment in content and market education.,80,2026-07-14,High
Lance,,AI,Seed,hiring,"Hiring: Product Marketing Manager | Location: San Francisco, CA, US | YC W26",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94304,Hiring a Marketing Manager at a Seed AI company. This suggests investment in content and market education.,80,2026-07-14,High
Blee,,Cybersecurity,Series A,hiring,Hiring: Product Marketing Manager | Location: San Francisco / New York City / Remote (US) | YC S22,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94765,Hiring a Marketing Manager at a Series A Cybersecurity company. This suggests investment in content and market education.,80,2026-07-14,High
Syntra,,Healthtech,Seed,hiring,"Hiring: Head of Marketing | Location: San Francisco, CA, US | YC S24",Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/96317,Hiring a Head Of Marketing at a Seed Healthtech company. This suggests investment in content and market education.,80,2026-07-14,High
BITS Pilani-backed AI edtech startup Sortmyprep,,AI,Pre-Seed,funding,"BITS Pilani-backed AI edtech startup Sortmyprep raises $350,000 in funding",,$500M,2026-07-13,Rohini Kasturi,CEO,moneycontrol.com,https://www.moneycontrol.com/news/business/startup/bits-pilani-backed-ai-edtech-startup-sortmyprep-raises-350-000-in-funding-13972727.html,Raised a $500M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-14,Low
Promptwatch,,AI,Pre-Seed,funding,Promptwatch raises €6M to expand its end-to-end AI search optimisation platform,,,2026-07-13,Gijs de Groot,CEO,tech.eu,https://tech.eu/2026/07/14/promptwatch-raises-eur6m-to-expand-its-end-to-end-ai-search-optimisation-platform/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-14,Low
Material Depot,,,Series A,hiring,"Hiring: Architectural Content Strategist | Location: Bengaluru, KA, IN | YC W22",Content Strategist,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/60764,Hiring a Content Strategist. This suggests investment in content and market education.,60,2026-07-14,Low
VoiceOS,,,Seed,hiring,"Hiring: Part-Time Videographer & Video Editor | Location: San Francisco, CA, US | YC P25",Videographer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/98609,Hiring a Videographer. This suggests investment in content and market education.,60,2026-07-14,Low
Mantis,,,Seed,hiring,"Hiring: Part-Time Content Creator / Video Editor Contractor | Location: New York City / NY, US / Remote (US) | YC W26",Video Editor,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/98288,Hiring a Video Editor. This suggests investment in content and market education.,60,2026-07-14,Low
Cardboard,,,Seed,hiring,"Hiring: Founding Designer | Location: Bengaluru, KA, IN / Bengaluru, Karnataka, IN | YC W26",Video Editor,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/95574 | https://www.workatastartup.com/jobs/95573,Hiring a Video Editor. This suggests investment in content and market education.,60,2026-07-14,Low
GroMo,,,Series A,hiring,"Hiring: Growth Marketer | Location: Gurugram, HR, IN | YC W21",Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/96054,Hiring a Growth Marketer. This suggests investment in content and market education.,60,2026-07-14,Low
Shaped,,,Series A,hiring,"Hiring: Growth marketer | Location: New York, NY, US | YC W22",Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93939,Hiring a Growth Marketer. This suggests investment in content and market education.,60,2026-07-14,Low
