company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
helloDarwin evolves B2B services platform,,API,Seed,funding,"helloDarwin evolves B2B services platform, raises $2 million seed round",,$2M,2021-05-31,and Julie Lacasse,founder,betakit.com,https://betakit.com/hellodarwin-evolves-b2b-services-platform-raises-2-million-seed-round/,Raised a $2M Seed round for a API platform. This signals active growth and potential need for content and marketing.,90,2026-09-10,High
Buildcheck,,AI,Series A,funding,Buildcheck Raises $12M Series A To Equip Construction Teams With Vision-Based AI For Drawing Reviews,,$12M,2026-09-08,developed by,co-founder,theglobeandmail.com,https://www.theglobeandmail.com/investing/markets/markets-news/GlobeNewswire/4516076/buildcheck-raises-12m-series-a-to-equip-construction-teams-with-vision-based-ai-for-drawing-reviews/,Raised a $12M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-10,High
Cymphony,,AI,Series A,funding,Cymphony raises $25 million Series A to secure the growing overlap between employees and AI agents,,$25M,2026-09-09,and CEO,co-founder,calcalistech.com,https://www.calcalistech.com/ctechnews/article/hjpi110rozg | https://www.whalesbook.com/news/English/technology/Cymphony-Raises-dollar25-Million-to-Secure-Corporate-AI-Agents/6aa15d6e75fe79b492e0a784,Raised a $25M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-10,High
Euno,,AI,Series A,funding,Euno Raises $23M Series A for Enterprise AI Context Platform,,$23M,2026-09-09,and several technology,founder,letsdatascience.com,https://letsdatascience.com/news/euno-raises-23m-series-a-for-enterprise-ai-context-platform-7b27e47d | https://www.unite.ai/euno-raises-23m-series-a-to-build-a-context-layer-for-enterprise-ai-agents/ | https://www.citybiz.co/article/900551/euno-raises-23-million-series-a-to-scale-enterprise-ai-context-platform/,Raised a $23M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-10,High
Beacon,,Fintech,Seed,funding,Beacon Raises $20 Million After Doubling Users in Seven Days,,$20M,2026-09-09,former PayBright,CEO,fintech.ca,https://www.fintech.ca/2026/09/09/beacon-raises-20-million-after-doubling-users-in-seven-days/,Raised a $20M Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,90,2026-09-10,High
Luminary,,AI,Series A,funding,Luminary Raises $22M to Scale AI Wealth Transfer Planning Platform,,$22M,2026-09-10,David Barnard,founder,wealthmanagement.com,https://www.wealthmanagement.com/advisor-support-platforms/luminary-raises-22m-to-scale-ai-wealth-platform | https://finance.yahoo.com/technology/ai/articles/luminary-raises-22-million-power-100000251.html,Raised a $22M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-10,High
Aqua,,AI,Series A,funding,Aqua raises $18.8m to build alternatives infrastructure,,$18.8M,2026-09-10,founder and,CEO,fintech.global,https://fintech.global/2026/09/10/aqua-raises-18-8m-to-build-alternatives-infrastructure/,Raised a $18.8M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-10,High
Haifa startup HydroSight,,AI,Seed,funding,Haifa startup HydroSight raises $5 million in seed round,,$5M,2026-09-09,,,msn.com,https://www.msn.com/en-us/news/other/haifa-startup-hydrosight-raises-5-million-in-seed-round/ar-AA2bSMPl,Raised a $5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-10,High
ZeroRisk,,AI,Series A,funding,ZeroRisk Secures $10M Series A to Transform Merchant Cybersecurity,,$10M,2026-09-09,,,ventureburn.com,https://ventureburn.com/zerorisk-secures-10m-series-a/,Raised a $10M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-10,High
Latitude,,Cybersecurity,Series A,funding,Latitude raises $35M in Series A funding led by Oak HC/FT to build stablecoin payment rails,,$35M,2026-09-09,,,cryptobriefing.com,https://cryptobriefing.com/latitude-raises-35m-series-a-stablecoin-payments/ | https://www.citybiz.co/article/900994/latitude-raises-35-million-series-a-to-scale-stablecoin-payments-infrastructure/,Raised a $35M Series A round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,80,2026-09-10,High
Stilla AI,,AI,Pre-Seed,funding,Stilla AI raises $5M to build multiplayer AI agents for workplace collaboration,,$5M,2026-09-09,,,cryptobriefing.com,https://cryptobriefing.com/stilla-ai-workplace-collaboration-funding/,Raised a $5M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-10,Low
Bengaluru-Based Quantum Cybersecurity Startup QNu,,AI,,funding,Bengaluru-Based Quantum Cybersecurity Startup QNu Raises $21 Million,,$21M,2026-09-09,Speaking on the raise,co-founder,officechai.com,https://officechai.com/startups/bengaluru-based-quantum-cybersecurity-startup-qnu-raises-21-million/,Raised $21M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-10,Low
Deep-tech cybersecurity company QNu Labs,,Cybersecurity,,unknown,Deep-tech cybersecurity company QNu Labs raises Rs 200 Cr in Series A1 round,,,2026-09-08,,,entrackr.com,https://entrackr.com/news/deep-tech-cybersecurity-company-qnu-labs-raises-rs-200-cr-in-series-a1-round-12509199,Deep-tech cybersecurity company QNu Labs is showing startup market signals in the Cybersecurity space.,50,2026-09-10,Low
