company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Rillet,,AI,Series A,funding,Rillet raises $100M Series C at $1B valuation — 2 years after emerging from stealth,,$100M,2026-08-19,founder and,CEO,TechCrunch,https://techcrunch.com/2026/08/19/rillet-raises-100m-series-c-at-1b-valuation-2-years-after-emerging-from-stealth/,Raised a $100M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-20,High
Sanja Fidler’s world model startup Veeda AI,,AI,Seed,funding,Sanja Fidler’s world model startup Veeda AI raises $90M in seed funding,,$90M,2026-08-19,This is something Fidler and her two,co-founder,siliconangle.com,https://siliconangle.com/2026/08/19/sanja-fidlers-world-model-startup-veeda-ai-raises-90m-in-seed-funding/,Raised a $90M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-20,High
Veeda AI,,AI,Seed,funding,Veeda AI Raises $90M+ Seed Backed by Khosla and Radical to Build World Models for Physical AI,,$90M,2026-08-19,She rose to vice,president,unite.ai,https://www.unite.ai/veeda-ai-raises-90m-seed-backed-by-khosla-and-radical-to-build-world-models-for-physical-ai/,Raised a $90M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-20,High
Ours Privacy,,Cybersecurity,Series A,funding,Ours Privacy Raises $15M Series A to Accelerate Its Privacy-First Growth Marketing and Data Infrastructure Platform for Healthcare,,$15M,2026-08-19,said Adam Putterman,co-founder,finance.yahoo.com,https://finance.yahoo.com/healthcare/articles/ours-privacy-raises-15m-series-133800374.html,Raised a $15M Series A round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-08-20,High
NeoGeo,,Cybersecurity,Series A,funding,"NeoGeo Raises $20M Series A to Chase Gulf, Americas Push",,$20M,2026-08-19,highlighting emerging startup trends,founder,laffaz.com,https://laffaz.com/neogeo-series-a-20-million-neev-aavishkaar-capital/,Raised a $20M Series A round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-08-20,High
AlgoFET,,DevOps,Series A,funding,AlgoFET raises ₹15 crore in Pre-Series A from Piper Serica to build autonomous ground infra for drones,,,2026-08-19,Ankit Mishra,founder,telecom.economictimes.indiatimes.com,https://telecom.economictimes.indiatimes.com/news/industry/algofet-raises-15-crore-in-pre-series-a-from-piper-serica-to-build-autonomous-ground-infra-for-drones/133346602,Announced a Series A round for a DevOps platform. This signals active growth and potential need for content and marketing.,90,2026-08-20,High
Callosum,,AI,Seed,funding,Callosum raises $100M seed round,,$100M,2026-08-20,chip company Cerebras,CEO,tech.eu,https://tech.eu/2026/08/20/callosum-raises-100m-seed-round/,Raised a $100M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-20,High
AiPrise,,AI,Series A,hiring,Hiring: Senior Content Marketing Manager | Location: San Jose | YC S22,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/105469 | https://www.workatastartup.com/jobs/96249,Hiring a Marketing Manager at a Series A AI company. This suggests investment in content and market education.,80,2026-08-20,High
AI live entertainment financial platform Quantizr,,AI,Seed,funding,AI live entertainment financial platform Quantizr raises $5M,,$5M,2026-08-19,,,msn.com,https://www.msn.com/en-us/money/startup/ai-live-entertainment-financial-platform-quantizr-raises-5m/ar-AA2awPY3,Raised a $5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-08-20,High
XSquare,,Fintech,Pre-Seed,funding,XSquare raises pre-Seed round to expand into Saudi Arabia,,,2026-08-19,Tanvir Shah,Co-founder,wamda.com,https://www.wamda.com/2026/08/xsquare-raises-pre-seed-round-expand-saudi-arabia,Announced a Pre-Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,70,2026-08-20,Low
Guideless,,AI,Pre-Seed,funding,Guideless Raises €1M Pre-Seed to Turn Software Workflows Into AI Training Guides,,,2026-08-20,and Vinted,co-founder,unite.ai,https://www.unite.ai/guideless-raises-e1m-pre-seed-to-turn-software-workflows-into-ai-training-guides/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-08-20,Low
Lithuanian AI startup Guideless,,AI,Pre-Seed,funding,Lithuanian AI startup Guideless raises €1M to streamline software training,,,2026-08-20,and Vinted,co-founder,tech.eu,https://tech.eu/2026/08/20/lithuanian-ai-startup-guideless-raises-eur1m-to-streamline-software-training/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-08-20,Low
Rivian spinout Also,,API,,funding,Rivian spinout Also raises another $150M,,$150M,2026-08-19,Prysm Capital,co-founder,TechCrunch,https://techcrunch.com/2026/08/19/rivian-spinout-also-raises-another-150-million/,Raised $150M in funding for a API platform. This signals active growth and potential need for content and marketing.,60,2026-08-20,Low
Sachin Bansal’s fintech Navi,,Fintech,,funding,Sachin Bansal’s fintech Navi raises first outside capital with $100M Prosus investment,,$100M,2026-08-19,old startup founded by Flipkart,co-founder,TechCrunch,https://techcrunch.com/2026/08/19/sachin-bansals-fintech-navi-raises-first-outside-capital-with-100m-prosus-investment/,Raised $100M in funding for a Fintech platform. This signals active growth and potential need for content and marketing.,60,2026-08-20,Low
