company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
DevOps Automation Platform Zeet,,DevOps,Seed,funding,DevOps Automation Platform Zeet Raises $4.3M Seed Funding Led by Sequoia Capital with Participation from Race Capital,,$4.3M,2022-09-06,said Johnny Dallas,founder,finance.yahoo.com,https://finance.yahoo.com/news/devops-automation-platform-zeet-raises-132900845.html,Raised a $4.3M Seed round for a DevOps platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Bench and Shopify alumni,,Cloud,Seed,funding,Bench and Shopify alumni announce $11 million CAD to build “the Stripe for accounting” with Teal,,$11M,2024-05-20,Teal was founded last year by,CEO,betakit.com,https://betakit.com/bench-and-shopify-alumni-announce-11-million-cad-to-build-the-stripe-for-accounting-with-teal/,Raised a $11M Seed round for a Cloud platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Leading SaaS WhatsApp Integrator Cooby,,Automation,Seed,funding,Leading SaaS WhatsApp Integrator Cooby Secures US$1.75 Million in Latest Seed Funding Round to Supercharge Product Development and European Expansion,,$1.75M,2024-06-27,said Wen Shaw,CEO,finance.yahoo.com,https://finance.yahoo.com/news/leading-saas-whatsapp-integrator-cooby-082600517.html,Raised a $1.75M Seed round for a Automation platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Quantum Rise,,AI,Seed,funding,Quantum Rise secures $15m in seed funding,,$15M,2024-07-08,The number of,CEO,finance.yahoo.com,https://finance.yahoo.com/news/quantum-rise-secures-15m-seed-132938348.html,Raised a $15M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Fintech Startup Flex,,Fintech,Seed,funding,Fintech Startup Flex Raises Seed Round to Help DTC Consumer Health and Wellness Brands Accept HSA and FSA Payments Online,,$150B,2024-09-04,Managing Partner and,Founder,finance.yahoo.com,https://finance.yahoo.com/news/fintech-startup-flex-raises-seed-130000787.html,Raised a $150B Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Nurau,,AI,Seed,funding,Nurau raises $1.5 million CAD in seed funding to take AI-powered HR coach to the US,,$1.5M,2024-11-27,Wajcer Nurau,CEO,betakit.com,https://betakit.com/nurau-raises-1-5-million-cad-in-seed-funding-to-take-ai-powered-hr-coach-to-the-us/,Raised a $1.5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Work automation platform Gumloop,,AI,Series A,funding,Work automation platform Gumloop raises $24.5-million Series A as it relocates to Silicon Valley,,$24.5M,2025-01-10,as it relocates to Silicon Valley Gumloop,CEO,betakit.com,https://betakit.com/work-automation-platform-gumloop-raises-24-5-million-series-a-as-it-relocates-to-silicon-valley/,Raised a $24.5M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Opsera,,AI,Series A,funding,"Opsera Raises $20M to Drive AI-Powered DevOps Platform Innovation, Accelerating AI Agent Adoption and Developer Efficiency",,$20M,2025-04-02,of Opsera,,newswire.ca,https://www.newswire.ca/news-releases/opsera-raises-20m-to-drive-ai-powered-devops-platform-innovation-accelerating-ai-agent-adoption-and-developer-efficiency-831857080.html,Raised a $20M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
SRE.ai,,AI,Seed,funding,"SRE.ai Raises $7.2 Million Seed Round to Redefine Enterprise DevOps for the AI Era, Backed by Salesforce Ventures and Crane Venture Partners",,$7.2M,2025-08-20,said Raj Kadiyala,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/sre-ai-raises-7-2-130000121.html,Raised a $7.2M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Reveal HealthTech,,AI,Series A,funding,Reveal HealthTech raises $7.2M Series A led by Leo Capital to power the next wave of AI-driven healthcare,,$7.2M,2025-09-03,Founder and,CEO,finance.yahoo.com,https://finance.yahoo.com/news/reveal-healthtech-raises-7-2m-160000933.html | https://www.newswire.ca/news-releases/reveal-healthtech-raises-7-2m-series-a-led-by-leo-capital-to-power-the-next-wave-of-ai-driven-healthcare-830179814.html | https://www.theglobeandmail.com/investing/markets/markets-news/Newswire.ca/34574025/reveal-healthtech-raises-7-2m-series-a-led-by-leo-capital-to-power-the-next-wave-of-ai-driven-healthcare/,Raised a $7.2M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
"DianaHR, Founded by Ex-Gusto Engineering Lead",,AI,Seed,funding,"DianaHR, Founded by Ex-Gusto Engineering Lead, Raises Seed Round to Bring HR-as-a-Service to SMBs",,$3.7M,2025-09-15,percent Upeka Bee,Founder,finance.yahoo.com,https://finance.yahoo.com/news/dianahr-founded-ex-gusto-engineering-130100467.html,Raised a $3.7M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Lakefusion,,AI,Seed,funding,Lakefusion Raises Seed Funding For AI-Powered Data Management On Databricks Lakehouse,,,2025-11-19,said Vikas Punna,Founder,finance.yahoo.com,https://finance.yahoo.com/news/lakefusion-raises-seed-funding-ai-162200534.html,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Corma,,AI,Seed,funding,Corma Announces €3.5M Seed Round to Revolutionize Software License and Access Governance,,,2025-12-08,says Corma,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/corma-announces-3-5m-seed-135700428.html,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Firmable,,AI,Series A,funding,Firmable Raises $14m Series A to Take AI-Native Sales Platform Global,,$14M,2026-03-01,where Jasper was,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/firmable-raises-14m-series-ai-023600198.html,Raised a $14M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Tetrix,,AI,Series A,funding,Tetrix raises $15 million USD to excavate investor data buried in old technolgies,,$15M,2026-06-23,by Canadian CEO Olivier Babin and,CTO,betakit.com,https://betakit.com/tetrix-raises-15-million-usd-to-excavate-investor-data-buried-in-old-technolgies/,Raised a $15M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Valarian,,AI,Series A,funding,Valarian Raises $50 Million To Deliver Sovereign AI and Enterprise Infrastructure,,$50M,2026-07-14,said Max Buchan,CEO,ventureburn.com,https://ventureburn.com/valarian-raises-50-million-sovereign-ai-infrastructure/ | https://www.finanznachrichten.de/nachrichten-2026-07/69015414-valarian-raises-dollar-50-million-series-a-led-by-nea-to-deliver-the-sovereign-infrastructure-layer-for-high-consequence-operations-and-ai-driven-systems-004.htm,Raised a $50M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
Infinity,,AI,Seed,funding,Infinity Raises $15 Million in Seed Funding to Build the Software Layer That Makes Any AI Chip Inference-Ready,,$15M,2026-07-20,said Jeremy Nixon,founder,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/infinity-raises-15-million-seed-150500491.html,Raised a $15M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-26,High
