company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Hang Ten Systems,,AI,Seed,funding,Hang Ten Systems Raises Another $53 Million in Seed Funding,,$53M,2026-09-17,Vishal Sikka,CEO,equitypandit.com,https://www.equitypandit.com/hang-ten-systems-raises-another-53-million-in-seed-funding/,Raised a $53M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-18,High
Kastle,,AI,Series A,funding,Kastle Raises $24M Series A Led by Insight Partners to Build the AI Workforce for Banking Operations,,$24M,2026-09-17,group of prominent,founder,PR Newswire,https://www.prnewswire.com/news-releases/kastle-raises-24m-series-a-led-by-insight-partners-to-build-the-ai-workforce-for-banking-operations-302881290.html,Raised a $24M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-18,High
AI startup Mantic,,AI,Seed,funding,AI startup Mantic raises $25 million for superhuman forecasting,,$25M,2026-09-18,Toby Shevlane said,,aol.com,https://www.aol.com/articles/ai-startup-mantic-raises-25-100618000.html,Raised a $25M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-18,High
Vishal Sikka’s AI Startup Hang Ten,,AI,Seed,funding,Vishal Sikka’s AI Startup Hang Ten Raises $53 Million in Seed Funding,,$53M,2026-09-18,founded by former Infosys,CEO,thehansindia.com,https://www.thehansindia.com/tech/vishal-sikkas-ai-startup-hang-ten-raises-53-million-in-seed-funding-1123205,Raised a $53M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-18,High
Rune launches solar-sited modular compute system,,API,Series A,funding,"Rune launches solar-sited modular compute system, raises $40m Series A",,$40M,2026-09-16,,,datacenterdynamics.com,https://www.datacenterdynamics.com/en/news/rune-launches-solar-sited-modular-compute-system-raises-40m-series-a/,Raised a $40M Series A round for a API platform. This signals active growth and potential need for content and marketing.,80,2026-09-18,High
London-Based Mantic,,AI,Seed,funding,London-Based Mantic Raises $25M For AI Forecasting,,$25M,2026-09-17,,,whalesbook.com,https://www.whalesbook.com/news/English/technology/London-Based-Mantic-Raises-dollar25M-For-AI-Forecasting/6aad10d4ed7f8e81734fee50,Raised a $25M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-18,High
Mantic,,AI,Seed,funding,Mantic raises $25 million seed and outperforms forecasters at Metaculus Cup,,$25M,2026-09-17,,,newsbytesapp.com,https://www.newsbytesapp.com/news/business/mantic-raises-25-million-seed-and-outperforms-forecasters-at-metaculus-cup/tldr,Raised a $25M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-18,High
Comp AI,,AI,Pre-Seed,funding,Comp AI raises $34M in Series A to automate compliance with open-source platform,,$34M,2026-09-17,The founding team consists of Lewis Carhart as,CEO,cryptobriefing.com,https://cryptobriefing.com/comp-ai-34m-series-a-compliance/,Raised a $34M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-09-18,Low
Crusoe,,AI,,funding,Crusoe raises $3.9B to build massive data centers and small modular ‘AI factories’,,$3.9B,2026-09-17,and Redwood Materials founder and,CEO,TechCrunch,https://techcrunch.com/2026/09/17/crusoe-raises-3-9b-to-build-massive-data-centers-and-small-modular-ai-factories/,Raised $3.9B in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-18,Low
Investment management platform Ridgeline,,AI,,funding,Investment management platform Ridgeline raises $250m Series E,,$250M,2026-09-17,round led by,founder,fintechfutures.com,https://www.fintechfutures.com/venture-capital-funding/ridgeline-raises-250m-series-e,Raised $250M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-18,Low
