company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Bench and Shopify alumni,,Cloud,Seed,funding,Bench and Shopify alumni announce $11 million CAD to build “the Stripe for accounting” with Teal,,$11M,2024-05-19,Teal was founded last year by,CEO,betakit.com,https://betakit.com/bench-and-shopify-alumni-announce-11-million-cad-to-build-the-stripe-for-accounting-with-teal/,Raised a $11M Seed round for a Cloud platform. This signals active growth and potential need for content and marketing.,90,2026-07-08,High
Agave,,AI,Series A,funding,Agave Raises $15M Series A to Bring AI to Construction Financials,,$15M,2026-07-07,cofounder and,CEO,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/agave-raises-15m-series-bring-140000046.html,Raised a $15M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-08,High
KOR Protocol,,AI,Series A,funding,KOR Protocol Raises $7.5 Million Series A to Build the Creative Asset Clearinghouse,,$7.5M,2026-07-07,,,manilatimes.net,https://www.manilatimes.net/2026/07/08/tmt-newswire/globenewswire/kor-protocol-raises-75-million-series-a-to-build-the-creative-asset-clearinghouse/2380271,Raised a $7.5M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-08,High
Tangos,,AI,Seed,funding,Tangos Raises $20 Million Seed Funding to Expand AI Financial Crime Investigations,,$20M,2026-07-07,,,ventureburn.com,https://ventureburn.com/tangos-raises-20-million-seed-funding/ | https://financialit.net/news/fundraising-news/tangos-raises-20-million-seed-round-scale-financial-crime-investigations,Raised a $20M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-08,High
Auxilius,,AI,Pre-Seed,funding,Auxilius raises €1.3M pre-seed to automate enterprise compliance,,,2026-07-06,said Christian Hoppe,CEO,tech.eu,https://tech.eu/2026/07/07/auxilius-raises-eur13m-pre-seed-to-automate-enterprise-compliance/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-08,Low
AI law startup Norm,,AI,,funding,"AI law startup Norm raises $120M, hits unicorn valuation",,$120M,2026-07-07,and COO of Blackstone,,TechCrunch,https://techcrunch.com/2026/07/07/ai-law-startup-norm-raises-120m-hits-unicorn-valuation/,Raised $120M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-07-08,Low
AI chip maker SambaNova,,AI,,funding,"AI chip maker SambaNova raises $1B at $11B valuation, 5 months after last mega round",,$1B,2026-07-08,Rodrigo Liang,CEO,TechCrunch,https://techcrunch.com/2026/07/08/sambanova-draws-1b-at-11b-valuation-in-series-f-first-close/,Raised $1B in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-07-08,Low
South Africa-linked AI coding startup,,AI,Pre-Seed,funding,South Africa-linked AI coding startup raises $1mln in pre-seed funding,,$1M,2026-07-08,,,zawya.com,https://www.zawya.com/en/economy/africa/south-africa-linked-ai-coding-startup-raises-1mln-in-pre-seed-funding-h7r628y0,Raised a $1M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-07-08,Low
Bespoke Labs,,AI,,funding,Bespoke Labs Raises $40M in Funding To Train Reliable Agents,,$40M,2026-07-06,,,ventureburn.com,https://ventureburn.com/bespoke-labs-raises-40m-ai-agent-training/,Raised $40M in funding for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-07-08,Low
Billionaire Eduardo Saverin-backed B Capital,,API,,funding,Billionaire Eduardo Saverin-backed B Capital raises $500 million to fund early stage startups,,$500M,2026-07-08,,,msn.com,https://www.msn.com/en-us/money/news/billionaire-eduardo-saverin-backed-b-capital-raises-500-million-to-fund-early-stage-startups/ar-AA27sOAA,Raised $500M in funding for a API platform. This signals active growth and potential need for content and marketing.,50,2026-07-08,Low
