company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
ZK Virtual Machine Developer RISC Zero,,Cybersecurity,Series A,funding,ZK Virtual Machine Developer RISC Zero Raises $40M in Series A,,$40M,2023-07-19,RISC Zero,CEO,finance.yahoo.com,https://finance.yahoo.com/news/zk-virtual-machine-developer-risc-130102290.html,Raised a $40M Series A round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-07-29,High
Fish Audio,,AI,Seed,funding,Fish Audio raises $52M seed to build AI voice models for creators and enterprises,,$52M,2026-07-28,CEO and,co-founder,TechCrunch,https://techcrunch.com/2026/07/28/fish-audio-raises-50m-seed-to-build-ai-voice-models-for-creators-and-enterprises/ | https://finance.yahoo.com/technology/ai/articles/fish-audio-raises-50m-seed-140000817.html | https://startupfortune.com/fish-audio-raises-52-million-to-challenge-elevenlabs-in-the-ai-voice-arms-race/ | https://finance.yahoo.com/technology/ai/articles/fish-audio-raises-52m-seed-163000891.html | https://americanbazaaronline.com/2026/07/28/fish-audio-raises-50-million-in-seed-funding-to-build-ai-voice-models/,Raised a $52M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-29,High
Epsagon founders,,AI,Seed,funding,"Epsagon founders raise $34M seed round for Harmony, an AI agent platform built inside Slack and Teams",,$34M,2026-07-28,cap table built on,founder,startupfortune.com,https://startupfortune.com/epsagon-founders-raise-34m-seed-round-for-harmony-an-ai-agent-platform-built-inside-slack-and-teams/,Raised a $34M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-29,High
Revspot,,AI,Series A,funding,Revspot Raises $4.8 Mn To Scale AI Sales Automation Platform,,$4.8M,2026-07-29,CEO and,Co-Founder,inc42.com,https://inc42.com/buzz/revspot-raises-4-8-mn-to-scale-ai-sales-automation-platform/ | https://www.indianweb2.com/2026/07/revspot-raises-48-million-series-to.html,Raised $4.8M in funding for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-29,High
GloGlo,,AI,Seed,hiring,"Hiring: Videographer Intern at 14.ai (On-Site – San Francisco, ASAP Start)  | Location: San Francisco, CA, US | YC W24",Videographer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/91343,Hiring a Videographer at a Seed AI company. This suggests investment in content and market education.,80,2026-07-29,High
Building materials quick commerce startup Fixxly,,AI,Seed,funding,Building materials quick commerce startup Fixxly raises $5.5M in seed round,,$5.5M,2026-07-28,,,yourstory.com,https://yourstory.com/2026/07/building-materials-quick-commerce-startup-fixxly-seed-round,Raised a $5.5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-29,High
Vishal Sikka bets on 'AI surfing' with Hang Ten,,AI,Seed,funding,"Vishal Sikka bets on 'AI surfing' with Hang Ten, raises $32 million to help enterprises ride the wave",,$32M,2026-07-29,,,msn.com,https://www.msn.com/en-in/technology/artificial-intelligence/vishal-sikka-bets-on-ai-surfing-with-hang-ten-raises-32-million-to-help-enterprises-ride-the-wave/ar-AA28XpZY,Raised a $32M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-29,High
Olomon,,Fintech,Pre-Seed,funding,Olomon Raises $2.6M Oversubscribed Pre-Seed to Build the Financial System of Record for Households,,$2.6M,2026-07-28,founder and,CEO,finance.yahoo.com,https://finance.yahoo.com/small-business/articles/olomon-raises-2-6m-oversubscribed-130000139.html,Raised a $2.6M Pre-Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,70,2026-07-29,Low
Sent,,AI,Pre-Seed,funding,Sent Raises $12M Series A to Supercharge AI Messaging Infrastructure,,$12M,2026-07-28,said Daniel Vataj,co-founder,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/sent-raises-12m-series-supercharge-120000119.html,Raised a $12M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-29,Low
Manufacturing automation goes autonomous as 1872,,Automation,,funding,Manufacturing automation goes autonomous as 1872 raises $15M,,$15M,2026-07-28,Here is what it means for,founder,msn.com,https://www.msn.com/en-us/money/general/manufacturing-automation-goes-autonomous-as-1872-raises-15m/ar-AA28SAg4,Raised $15M in funding for a Automation platform. This signals active growth and potential need for content and marketing.,60,2026-07-29,Low
