company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Verdi,,AI,Seed,funding,Verdi raises $6.5 million to reduce farmers’ irrigation irritation with automation,,$6.5M,2025-05-15,by CEO Arthur Chen and,CTO,betakit.com,https://betakit.com/verdi-raises-6-5-million-to-reduce-farmers-irrigation-irritation-with-automation/,Raised a $6.5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-19,High
General Intuition in talks to,,AI,Seed,funding,General Intuition in talks to raise $300M at around $2B valuation,,$300M,2026-06-18,founded and leads General Intuition alongside,co-founder,TechCrunch,https://techcrunch.com/2026/06/18/general-intuition-in-talks-to-raise-300m-at-around-2b-valuation/,Raised a $300M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-19,High
Iridius,,AI,Seed,funding,Iridius Raises $8.6M Seed Round to Build Compliance-by-Design AI Platform for Regulated Enterprise Workflows,,$8.6M,2026-04-24,,,Business Wire,https://www.businesswire.com/news/home/20260424303852/en/Iridius-Raises-%248.6M-Seed-Round-to-Build-Compliance-by-Design-AI-Platform-for-Regulated-Enterprise-Workflows,Raised a $8.6M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-19,High
Fairdeal.Market,,AI,Series A,funding,Fairdeal.Market raises $15M in Series A round led by Bertelsmann India,,$15M,2026-05-25,,,yourstory.com,https://yourstory.com/2026/05/fairdealmarket-raises-series-a-funding-led-by-bertelsmann-india,Raised a $15M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-19,High
Limitless Labs,,AI,Series A,funding,Limitless Labs Raises $20M Series A to Bring Agentic AI Into Precision Manufacturing,,$20M,2026-06-16,,,unite.ai,https://www.unite.ai/limitless-labs-raises-20m-series-a-to-bring-agentic-ai-into-precision-manufacturing/,Raised a $20M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-19,High
Mumbai startup Tringbox,,AI,Seed,funding,Mumbai startup Tringbox raises ₹5cr to scale AI music tech,,,2026-06-18,,,newsbytesapp.com,https://www.newsbytesapp.com/news/business/mumbai-startup-tringbox-raises-rs5cr-to-scale-ai-music-tech/tldr,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-19,High
AI music startup Tringbox,,AI,Seed,funding,AI music startup Tringbox raises Rs 5 crore in seed funding,,,2026-06-18,,,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/funding/ai-music-startup-tringbox-raises-rs-5-crore-in-seed-funding/articleshow/131831709.cms,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-19,High
Indian AI background music startup Tringbox,,AI,Seed,funding,Indian AI background music startup Tringbox raises seed funding,,,2026-06-19,,,musically.com,https://musically.com/2026/06/19/indian-ai-background-music-startup-tringbox-raises-seed-funding/,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-19,High
US AI litigation platform start-up Turbo Law,,AI,Pre-Seed,funding,US AI litigation platform start-up Turbo Law raises $3.8m in pre-seed funding round,,$3.8M,2026-06-18,Jay Sarmaz,co-founder,globallegalpost.com,https://www.globallegalpost.com/news/us-ai-litigation-platform-start-up-turbo-law-raises-38m-in-pre-seed-funding-round-1445015597,Raised a $3.8M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-06-19,Low
Crypto.com,,Cybersecurity,,hiring,"Hiring: Social Media Manager | Location: Dallas, Dallas, Texas, United States",Social Media Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-social-media-manager-crypto-com-1133674,Hiring a Social Media Manager at a Cybersecurity company. This suggests investment in content and market education.,50,2026-06-19,Low
NeoReach,,Cybersecurity,,hiring,"Hiring: Social Media Manager | Location: Remote, ",Social Media Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-social-media-manager-neoreach-1133551,Hiring a Social Media Manager at a Cybersecurity company. This suggests investment in content and market education.,50,2026-06-19,Low
Turtlemint Fintech,,Cybersecurity,,unknown,Turtlemint Fintech raises Rs 397 crore from anchor investors ahead of IPO,,,2026-06-18,,,moneycontrol.com,https://www.moneycontrol.com/news/business/ipo/turtlemint-fintech-raises-rs-397-crore-from-anchor-investors-ahead-of-ipo-13953454.html,Turtlemint Fintech is showing startup market signals in the Cybersecurity space.,50,2026-06-19,Low
Cityfurnish,,,Series B+,hiring,"Hiring: Video Editor | Location: Gurugram, Haryana, IN | YC W19",Video Editor,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/97108,Hiring a Video Editor. This suggests investment in content and market education.,20,2026-06-19,Low
