company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Netris,,AI,Series A,funding,Netris raises $15M Series A from a16z to help AI neoclouds go live faster,,$15M,2026-06-25,Alex Saroyan told TechCrunch,,TechCrunch,https://techcrunch.com/2026/06/25/netris-raises-15m-series-a-from-a16z-to-help-ai-neoclouds-go-live-faster/ | https://www.msn.com/en-us/money/general/netris-raises-15m-series-a-from-a16z-to-help-ai-neoclouds-go-live-faster/ar-AA26xyx9 | https://www.msn.com/en-us/money/technology/netris-raises-15m-series-a-from-a16z-to-help-ai-neoclouds-go-live-faster/ar-AA26xyx9,Raised a $15M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-26,High
Runlayer,,AI,Series A,funding,Runlayer Raises $30 Million in Series A Funding,,$30M,2026-06-25,said Runlayer,co-founder,securityweek.com,https://www.securityweek.com/runlayer-raises-30-million-in-series-a-funding/,Raised a $30M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-26,High
GrailPay,,AI,Series A,funding,"GrailPay Raises $10.5M Series A to Scale Risk Decisioning Infrastructure for the Future of Instant, Agentic Payments",,$10.5M,2026-06-25,Will Messina,Co-founder,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/grailpay-raises-10-5m-series-143000815.html,Raised a $10.5M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-26,High
Meath SaaS platform HR Duo,,Cybersecurity,Seed,funding,Meath SaaS platform HR Duo raises €1.6m,,,2026-06-25,led by,CEO,siliconrepublic.com,https://www.siliconrepublic.com/business/meath-saas-platform-hr-duo-raises-e1-6m,Announced a Seed round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-06-26,High
Marichi Labs,,AI,Seed,funding,Marichi Labs Secures Seed Funding to Transform Customer Conversations with AI,,,2026-06-26,Under the leadership of,CEO,devdiscourse.com,https://www.devdiscourse.com/article/business/3941182-marichi-labs-secures-seed-funding-to-transform-customer-conversations-with-ai,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-26,High
DRC-Born Yamify,,AI,Pre-Seed,funding,DRC-Born Yamify Raises Pre-Seed Funding to Build ‘Heroku for AI Tools’ on African Data Centres,,,2026-06-25,,,iafrica.com,https://iafrica.com/drc-born-yamify-raises-pre-seed-funding-to-build-heroku-for-ai-tools-on-african-data-centres/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-06-26,Low
Academy of Television Arts &amp; Sciences,,Cybersecurity,,hiring,"Hiring: Marketing Manager | Location: Los Angeles, Los Angeles, California, United States",Marketing Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-marketing-manager-social-media-content-creation-academy-of-television-arts-amp-sciences-1134065,Hiring a Marketing Manager at a Cybersecurity company. This suggests investment in content and market education.,50,2026-06-26,Low
New Engen,,AI,,hiring,"Hiring: Creative Strategist | Location: New York, New York, New York, United States",Creative Strategist,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-lead-creative-strategist-new-engen-1134063,Hiring a Creative Strategist at a AI company. This suggests investment in content and market education.,50,2026-06-26,Low
Apple,,AI,,funding,"Apple raises Mac and iPad prices, spares iPhone for now",,$599M,2026-06-25,,,TechCrunch,https://techcrunch.com/2026/06/25/apple-raises-mac-and-ipad-prices-spares-iphone-for-now/,Raised $599M in funding for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-06-26,Low
Agentic AI startup,,AI,,funding,Agentic AI startup raises $107M for regulated industry automation,,$107M,2026-06-25,,,technical.ly,https://technical.ly/entrepreneurship/agentic-ai-startup-trase-raises-seed-round-for-healthcare-automation/,Raised $107M in funding for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-06-26,Low
