company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Kiefa,,Data,Seed,funding,Kiefa Raises $2M Seed Round,,$2M,2024-01-18,Said Peter Heidrich,Co-founder,finance.yahoo.com,https://finance.yahoo.com/news/kiefa-raises-2m-seed-round-142000111.html,Raised a $2M Seed round for a Data platform. This signals active growth and potential need for content and marketing.,90,2026-06-18,High
SubBase,,AI,Series A,funding,SubBase Raises $7 Million Series A to Further Grow and Scale Its Construction Materials Procurement Platform,,$7M,2026-06-17,Eric Helitzer,Founder,finance.yahoo.com,https://finance.yahoo.com/small-business/articles/subbase-raises-7-million-series-145600700.html,Raised a $7M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-18,High
Trace Finance,,Cybersecurity,Series A,funding,"Trace Finance raises $32M Series A, valuation grows 10x from seed",,$32M,2026-06-17,founder and,CEO,cryptobriefing.com,https://cryptobriefing.com/trace-finance-32m-series-a/ | https://finance.yahoo.com/markets/crypto/articles/trace-finance-raises-32m-stablecoin-182800339.html | https://www.msn.com/en-us/money/other/trace-finance-raises-32m-for-cross-border-stablecoin-settlement-expansion/ar-AA25T4OE,Raised a $32M Series A round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-06-18,High
India's Sovereign AI Startup ProactAI,,AI,Seed,funding,India's Sovereign AI Startup ProactAI Raises First Institutional Round to Build World-Class Vision Foundation Models,,,2026-06-18,said Adarsh Jain,Co-founder,aninews.in,https://www.aninews.in/news/business/indias-sovereign-ai-startup-proactai-raises-first-institutional-round-to-build-world-class-vision-foundation-models20260618155638/,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-18,High
"Exclusive: Cartesia, voice AI startup",,AI,Series A,funding,"Exclusive: Cartesia, voice AI startup, raises $64 million Series A",,$64M,2025-03-10,,,finance.yahoo.com,https://finance.yahoo.com/news/exclusive-cartesia-voice-ai-startup-111535504.html,Raised a $64M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-18,High
AI video generation startup TrueFan AI,,AI,Series A,funding,AI video generation startup TrueFan AI raises $10M Series A funding,,$10M,2026-06-03,,,yourstory.com,https://yourstory.com/2026/06/ai-video-generation-startup-truefan-ai-raises-series-a-funding,Raised a $10M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-18,High
Pramaana Labs,,AI,Seed,funding,Pramaana Labs raises $27M seed round from Khosla Ventures to bring formal verification to AI,,$27M,2026-06-17,,,msn.com,https://www.msn.com/en-us/money/other/pramaana-labs-raises-27m-seed-round-from-khosla-ventures-to-bring-formal-verification-to-ai/ar-AA25S8vE | https://www.msn.com/en-us/science/mathematics/pramaana-labs-raises-27m-seed-round-from-khosla-ventures-to-bring-formal-verification-to-ai/ar-AA25S8vE | https://www.business-standard.com/companies/start-ups/pramaana-labs-raises-27-million-in-seed-funding-led-by-khosla-ventures-126061701357_1.html,Raised a $27M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-18,High
AI startup Pramaana Labs,,AI,Seed,funding,AI startup Pramaana Labs raises $27 million in seed funding led by Khosla Ventures,,$27M,2026-06-17,,,msn.com,https://www.msn.com/en-in/money/general/ai-startup-pramaana-labs-raises-27-million-in-seed-funding-led-by-khosla-ventures/ar-AA25T5al | https://www.thehindubusinessline.com/info-tech/ai-startup-pramaana-labs-raises-27-million-to-build-verifiable-ai-technology/article71115219.ece,Raised a $27M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-18,High
Hydra Host,,AI,Series A,funding,Hydra Host raises $100m in Series A funding round,,$100M,2026-06-17,,,datacenterdynamics.com,https://www.datacenterdynamics.com/en/news/hydra-host-raises-100m-in-series-a-funding-round/,Raised a $100M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-18,High
Range,,Cybersecurity,Series A,funding,"Range raises $8.3M Series A to unify treasury, risk and compliance across stablecoins and fiat",,$8.3M,2026-06-18,,,cryptobriefing.com,https://cryptobriefing.com/range-raises-8-3m-series-a-to-unify-treasury-risk-and-compliance-across-stablecoins-and-fiat/,Raised a $8.3M Series A round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,80,2026-06-18,High
Cybersecurity start-up Chainguard,,Cybersecurity,,funding,Cybersecurity start-up Chainguard raises $356m at $3.5bn valuation,,$356M,2025-04-23,Chainguard CEO and,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/cybersecurity-start-chainguard-raises-356m-113513903.html,Raised $356M in funding for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,60,2026-06-18,Low
OnTheGoSystems,,AI,,hiring,"Hiring: Head Of Content | Location: Lisboa, Lisboa, Lisboa, Portugal",Head Of Content,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-head-of-content-onthegosystems-1133539,Hiring a Head Of Content at a AI company. This suggests investment in content and market education.,50,2026-06-18,Low
Varun Digital Media,,SaaS,,hiring,"Hiring: Marketing Manager | Location: India, ",Marketing Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-performance-marketing-manager-varun-digital-media-1133521,Hiring a Marketing Manager at a SaaS company. This suggests investment in content and market education.,50,2026-06-18,Low
Hunt St,,,,hiring,Hiring: Marketing Manager | Location: Philippines,Marketing Manager,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-marketing-manager-hunt-st-1133500,Hiring a Marketing Manager. This suggests investment in content and market education.,30,2026-06-18,Low
