company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Workflow SaaS integrator Unito,,HR Tech,Series A,funding,Workflow SaaS integrator Unito raises $20 million to build more integrations,,$20M,2022-10-26,angel investor and Williams family office,CEO,betakit.com,https://betakit.com/workflow-saas-integrator-unito-raises-20-million-to-build-more-integrations/,Raised a $20M Series A round for a HR Tech platform. This signals active growth and potential need for content and marketing.,90,2026-06-16,High
AI startup Humans&,,AI,Seed,funding,AI startup Humans& raises $480 million at $4.5 billion valuation in seed round,,$480M,2026-01-19,SV Angel and,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/ai-startup-humans-raises-480-151839506.html,Raised a $480M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-16,High
Billables AI,,AI,Series A,funding,Billables AI Raises $10 Million Series A to Accelerate AI-Powered Operational Intelligence for Law Firms,,$10M,2026-06-09,and partner,,manilatimes.net,https://www.manilatimes.net/2026/06/09/tmt-newswire/globenewswire/billables-ai-raises-10-million-series-a-to-accelerate-ai-powered-operational-intelligence-for-law-firms/2361969,Raised a $10M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-16,High
AI startup Basis,,AI,Series A,funding,AI startup Basis raises $34 million for accounting automation 'agent',,$34M,2024-12-16,,,finance.yahoo.com,https://finance.yahoo.com/news/ai-startup-basis-raises-34-181611820.html,Raised a $34M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-16,High
Basetwo,,AI,Series A,funding,Basetwo closes $16.5-million CAD Series A round to optimize manufacturing with AI copilots,,$11.5M,2025-01-22,,,betakit.com,https://betakit.com/basetwo-closes-16-5-million-cad-series-a-round-to-optimize-manufacturing-with-ai-copilots/,Raised a $11.5M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-16,High
Airspeed,,AI,Series A,funding,Airspeed Raises $20M Series A to Scale Agent-Native Revenue Execution Platform,,$20M,2026-06-04,,,ventureburn.com,https://ventureburn.com/airspeed-raises-20m-series-a-revenue-execution/,Raised a $20M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-16,High
AI fintech startup Wanami,,AI,Seed,funding,AI fintech startup Wanami raises $8 million,,$8M,2026-06-15,,,finextra.com,https://www.finextra.com/newsarticle/47916/ai-fintech-startup-wanami-raises-8-million,Raised a $8M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-16,High
Exclusive: Optiak,,AI,Pre-Seed,funding,Exclusive: Optiak raises €4m to build an orchestration layer for enterprise AI,,$4.7M,2026-06-16,tour now The,founder,thenextweb.com,https://thenextweb.com/news/optiak-raises-e4m-to-build-an-orchestration-layer-for-enterprise-ai,Raised a $4.7M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-06-16,Low
Sovra,,Fintech,Pre-Seed,funding,Sovra raises $2M+ pre-seed to build the fintech platform that gives people direct control of their money,,$2M,2026-06-16,Ahmad Wehbi,Founder,zawya.com,https://www.zawya.com/en/press-release/companies-news/sovra-raises-2m-pre-seed-to-build-the-fintech-platform-that-gives-people-direct-control-of-their-money-u00qub9h,Raised a $2M Pre-Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,70,2026-06-16,Low
Prismatic,,SaaS,,funding,Prismatic lands $22M to connect disparate B2B SaaS apps,,$22M,2024-01-17,,,TechCrunch,https://techcrunch.com/2024/01/17/prismatic-lands-22m-to-connect-disparate-b2b-saas-apps/,Raised $22M in funding for a SaaS platform. This signals active growth and potential need for content and marketing.,50,2026-06-16,Low
AR/VR startup AutoVRse,,API,,funding,AR/VR startup AutoVRse raises $2.4 mn for international expansion,,$2.4M,2026-06-15,,,msn.com,https://www.msn.com/en-in/money/news/arvr-startup-autovrse-raises-24-mn-for-international-expansion/ar-AA25GvA9,Raised $2.4M in funding for a API platform. This signals active growth and potential need for content and marketing.,50,2026-06-16,Low
Jerry,,Cybersecurity,Series B+,hiring,"Hiring: Social Media Manager, Community | Location: Remote (US) | YC S17",Social Media Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/96682,Hiring a Social Media Manager at a Series B+ Cybersecurity company. This suggests investment in content and market education.,40,2026-06-16,Low
Elavate Superfoods,,,,hiring,"Hiring: Creative Strategist | Location: United Kingdom, ",Creative Strategist,,,,,Remote OK,https://remoteOK.com/remote-jobs/remote-junior-creative-strategist-ugc-co-ordinator-elavate-superfoods-1133422,Hiring a Creative Strategist. This suggests investment in content and market education.,30,2026-06-16,Low
