company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Voxira AI Agent Developer Secai,,AI,Series A,funding,Voxira AI Agent Developer Secai Raises $6.2M Series A to Scale Healthcare Automation,,$6.2M,2010-02-10,Ragui Ibrahim,President,theglobeandmail.com,https://www.theglobeandmail.com/investing/markets/markets-news/GlobeNewswire/160472/voxira-ai-agent-developer-secai-raises-6-2m-series-a-to-scale-healthcare-automation/,Raised a $6.2M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
Provision Analytics,,Cybersecurity,Seed,funding,Provision Analytics raises $6 million CAD to improve food safety with its SaaS platform,,$6M,2022-01-13,purpose entity established by the,co-founder,betakit.com,https://betakit.com/provision-analytics-raises-6-million-cad-to-improve-food-safety-with-its-saas-platform/,Raised a $6M Seed round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
Facets.cloud,,DevOps,Seed,funding,Facets.cloud Raises $4 Million in Seed Funding to Revolutionize DevOps,,$4M,2023-09-04,says Pravanjan Choudhury,founder,newswire.ca,https://www.newswire.ca/news-releases/facets-cloud-raises-4-million-in-seed-funding-to-revolutionize-devops-891435412.html,Raised a $4M Seed round for a DevOps platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
DevOps platform Codezero,,Cybersecurity,Seed,funding,DevOps platform Codezero raises $3.5-million seed round,,$3.5M,2024-03-14,Thomas Dohmke,CEO,betakit.com,https://betakit.com/devops-platform-codezero-raises-3-5-million-seed-round/,Raised a $3.5M Seed round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
Nurau,,AI,Seed,funding,Nurau raises $1.5 million CAD in seed funding to take AI-powered HR coach to the US,,$1.5M,2024-11-27,Wajcer Nurau,CEO,betakit.com,https://betakit.com/nurau-raises-1-5-million-cad-in-seed-funding-to-take-ai-powered-hr-coach-to-the-us/,Raised a $1.5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
Jozu,,AI,Seed,funding,Jozu Raises $4 Million Seed Round to Scale Enterprise AI Orchestration Platform,,$4M,2025-05-08,said Brad Micklea,CEO,finance.yahoo.com,https://finance.yahoo.com/news/jozu-raises-4-million-seed-140000288.html,Raised a $4M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
Reveal HealthTech,,AI,Series A,funding,Reveal HealthTech raises $7.2M Series A led by Leo Capital to power the next wave of AI-driven healthcare,,$7.2M,2025-09-03,Founder and,CEO,finance.yahoo.com,https://finance.yahoo.com/news/reveal-healthtech-raises-7-2m-160000933.html | https://www.newswire.ca/news-releases/reveal-healthtech-raises-7-2m-series-a-led-by-leo-capital-to-power-the-next-wave-of-ai-driven-healthcare-830179814.html | https://www.theglobeandmail.com/investing/markets/markets-news/Newswire.ca/34574025/reveal-healthtech-raises-7-2m-series-a-led-by-leo-capital-to-power-the-next-wave-of-ai-driven-healthcare/,Raised a $7.2M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
ProcessMiner,,AI,Seed,funding,"ProcessMiner Raises Seed Funding to Scale AI-Powered Optimization for Manufacturing, Critical Infrastructure End-Markets",,,2026-04-28,said Karim Pourak,Chief Executive Officer,finance.yahoo.com,https://finance.yahoo.com/sectors/technology/articles/processminer-raises-seed-funding-scale-180300898.html,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
Onos Health,,AI,Series A,funding,Onos Health Raises $17 Million Series A to Accelerate Adoption of its Behavioral Health AI Platform for Health Plans,,$17M,2026-08-26,said Akshay Agarwal,co-founder,aijourn.com,https://aijourn.com/onos-health-raises-17-million-series-a-to-accelerate-adoption-of-its-behavioral-health-ai-platform-for-health-plans/,Raised a $17M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
SiFly,,DevOps,Series A,funding,SiFly Raises $20 Million Series A to Scale U.S. Production of Long-Endurance Drones,,$20M,2026-08-26,said Brian Hinman,Founder,finance.yahoo.com,https://finance.yahoo.com/technology/articles/sifly-raises-20-million-series-125900552.html,Raised a $20M Series A round for a DevOps platform. This signals active growth and potential need for content and marketing.,90,2026-09-07,High
