company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
"Cloud security startup Wiz, now valued at $10B",,Cybersecurity,Series A,funding,"Cloud security startup Wiz, now valued at $10B, raises $300M",,$10B,2023-02-27,cloud security group leads and as the,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/cloud-security-startup-wiz-now-130049300.html,Raised a $10B Series A round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-09-09,High
Antioch,,AI,Series A,funding,Antioch Raises $32M in Series A Funding for Physical AI Simulation Platform,,$32M,2026-09-08,Angel investors include Palantir,CTO,theaiinsider.tech,https://theaiinsider.tech/2026/09/09/antioch-raises-32m-in-series-a-funding-for-physical-ai-simulation-platform/,Raised a $32M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-09,High
GenHealth.ai,,AI,Series A,funding,GenHealth.ai Raises $16.5 Mn in Series A Funding to Expand Healthcare AI Agents,,$16.5M,2026-09-09,Ricky Sahu,CEO,digitalhealthnews.com,https://www.digitalhealthnews.com/genhealth-ai-raises-16-5-mn-in-series-a-funding-to-expand-healthcare-ai-agents,Raised a $16.5M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-09,High
Bluecore Energy,,AI,Seed,funding,Bluecore Energy raises $50M seed to develop floating nuclear power systems for ports and AI infrastructure,,$50M,2026-09-08,,,techfundingnews.com,https://techfundingnews.com/bluecore-energy-raises-50m-seed-to-develop-floating-nuclear-power-systems-for-ports-and-ai-infrastructure/,Raised a $50M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-09,High
Nuclear startup Bluecore Energy,,AI,Pre-Seed,funding,"Nuclear startup Bluecore Energy raises $50M seed round, just two months after launch",,$50M,2026-09-08,and Ripple,co-founder,TechCrunch,https://techcrunch.com/2026/09/08/nuclear-startup-bluecore-energy-raises-50m-seed-round-just-two-months-after-launch/,Raised a $50M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-09-09,Low
Israeli startups,,AI,,funding,Israeli startups raise $1.16 billion in first two days of September,,$1.16B,2026-09-03,View gallery Upwind,CEO,calcalistech.com,https://www.calcalistech.com/ctechnews/article/hjvc16uoge,Raised $1.16B in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-09,Low
Saudi’s GAIA,,AI,Pre-Seed,funding,Saudi’s GAIA Raises USD 1.5M to Build Sovereign AI for Enterprises,,,2026-09-07,,,waya.media,https://waya.media/saudis-gaia-raises-usd-1-5m-to-build-sovereign-ai-for-enterprises/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-09,Low
CloudNC,,AI,,funding,CloudNC raises $20M to automate manufacturing’s most pressing bottlenecks,,$20M,2026-09-09,founder and,CEO,TechCrunch,https://techcrunch.com/2026/09/08/cloudnc-raises-20m-to-automate-manufacturings-most-pressing-bottlenecks/,Raised $20M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-09,Low
Stack Infrastructure to,,Cloud,,funding,Stack Infrastructure to raise $250m for data center expansion,,$250M,2023-03-06,,,datacenterdynamics.com,https://www.datacenterdynamics.com/en/news/stack-infrastructure-to-raise-250m-for-data-center-expansion/,Raised $250M in funding for a Cloud platform. This signals active growth and potential need for content and marketing.,50,2026-09-09,Low
The Exploration Company,,Cloud,,funding,The Exploration Company nabs $450 million to challenge SpaceX,,$450M,2026-09-08,,,TechCrunch,https://techcrunch.com/2026/09/08/the-exploration-company-nabs-450-million-to-challenge-spacex/,Raised $450M in funding for a Cloud platform. This signals active growth and potential need for content and marketing.,50,2026-09-09,Low
Mistral,,AI,,funding,Mistral raises €3B as sovereign AI becomes big business,,$3.58B,2026-09-08,,,TechCrunch,https://techcrunch.com/2026/09/08/mistral-raises-e3b-as-sovereign-ai-becomes-big-business/,Raised $3.58B in funding for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-09-09,Low
QNu Labs,,Cybersecurity,,funding,QNu Labs Raises $21 Mn In Series A1 Led by National Quantum Mission,,$21M,2026-09-09,,,businessworld.in,https://www.businessworld.in/article/qnu-labs-raises-21-mn-in-series-a1-led-by-national-quantum-mission-622786,Raised $21M in funding for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,50,2026-09-09,Low
