company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Takt,,AI,Series A,funding,Takt Raises $9.25M Series A to Scale Its Warehouse Labor Management and Intelligence Platform,,$9.25M,2026-08-17,said Glynn LoPresti,co-founder,aol.com,https://www.aol.com/articles/takt-raises-9-25m-series-130000000.html,Raised a $9.25M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-18,High
US AI infrastructure company Groq,,AI,Series A,funding,US AI infrastructure company Groq raises $350m Series A at $3.5bn valuation,,$350M,2026-08-17,Groq executive chairman and Disruptive,CEO,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/us-ai-infrastructure-company-groq-092426806.html,Raised a $350M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-18,High
Palona,,AI,Series A,funding,Palona raises $20M in funding to bring AI automation to brick-and-mortar businesses,,$20M,2026-08-17,Palona founder and,,siliconangle.com,https://siliconangle.com/2026/08/17/palona-raises-20m-in-funding-to-bring-ai-automation-to-brick-and-mortar-businesses/,Raised a $20M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-18,High
Gravis Robotics,,AI,Series A,funding,Gravis Robotics Raises $200M Series A to Scale Autonomous Heavy Machinery,,$200M,2026-08-17,The company is led by CEO and,co-founder,unite.ai,https://www.unite.ai/gravis-robotics-raises-200m-series-a-to-scale-autonomous-heavy-machinery/,Raised a $200M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-08-18,High
Detroit startup Grounded,,Healthtech,Seed,funding,Detroit startup Grounded raises $5M to customize electric and gas-powered vans,,$5M,2026-08-18,according to founder and,CEO,TechCrunch,https://techcrunch.com/2026/08/18/detroit-startup-grounded-raises-5m-to-customize-electric-and-gas-powered-vans/,Raised a $5M Seed round for a Healthtech platform. This signals active growth and potential need for content and marketing.,90,2026-08-18,High
Geospatial Intelligence startup NeoGeo,,Cloud,Series A,funding,Geospatial Intelligence startup NeoGeo raises $20 million in Series A,,$20M,2026-08-18,said Brahmam GVS,co-founder,livemint.com,https://www.livemint.com/companies/start-ups/geospatial-intelligence-startup-neogeo-raises-20-million-series-a-funding-11787029045557.html,Raised a $20M Series A round for a Cloud platform. This signals active growth and potential need for content and marketing.,90,2026-08-18,High
Terra Industries,,Cybersecurity,Seed,funding,Terra Industries closes $52M seed round to build defense infrastructure for the Global South,,$52M,2026-08-17,,,TechCrunch,https://techcrunch.com/2026/08/17/terra-industries-closes-52m-seed-round-to-build-defense-infrastructure-for-the-global-south/,Raised a $52M Seed round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,80,2026-08-18,High
Groq,,AI,,funding,Groq raises $350M to fuel its pivot from AI chips to neocloud,,$350M,2026-08-17,founder and,CEO,TechCrunch,https://techcrunch.com/2026/08/17/groq-raises-350m-to-fuel-its-pivot-from-ai-chips-to-neocloud/,Raised $350M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-08-18,Low
Higgsfield,,AI,Series B,funding,"Higgsfield raises $400M Series B, quadrupling its valuation in 8 months to $5.4B",,$400M,2026-08-17,,,TechCrunch,https://techcrunch.com/2026/08/17/higgsfield-raises-400m-series-b-quadrupling-its-valuation-in-8-months-to-5-4b/,Raised a $400M Series B round for a AI platform. This signals active growth and potential need for content and marketing.,40,2026-08-18,Low
Wispr,,AI,Series B,funding,Wispr raises $280M at $2B valuation as it looks beyond dictation,,$280M,2026-08-17,,,TechCrunch,https://techcrunch.com/2026/08/17/wispr-raises-280m-at-2b-valuation-as-it-looks-beyond-dictation/,Raised a $280M Series B round for a AI platform. This signals active growth and potential need for content and marketing.,40,2026-08-18,Low
