company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Tare,,Fintech,Seed,funding,Tare raises more than $13M to streamline private credit transactions on Avalanche,,$13M,2026-09-16,Tether cofounder Phil Potter and Privy,CEO,cryptobriefing.com,https://cryptobriefing.com/tare-raises-13m-blockchain-capital-private-credit/,Raised a $13M Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,90,2026-09-17,High
Iceland-based Treble,,AI,Series A,funding,Iceland-based Treble raises $18 million for its voice simulation platform,,$18M,2026-09-17,Finnur Pind Image Credits,,TechCrunch,https://techcrunch.com/2026/09/16/iceland-based-treble-raises-18-million-for-its-voice-simulation-platform/,Raised a $18M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-17,High
Whatnot,,Cybersecurity,Series A,hiring,"Hiring: Social Media Manager, Germany (m/f/d) | Location: Berlin, Germany / Remote (US) | YC W20",Social Media Manager / Creative Strategist / Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/110371 | https://www.workatastartup.com/jobs/110386 | https://www.workatastartup.com/jobs/110317,Hiring a Social Media Manager at a Series A Cybersecurity company. This suggests investment in content and market education.,80,2026-09-17,High
Vishal Sikka's Hang Ten Systems,,AI,Seed,funding,Vishal Sikka's Hang Ten Systems Raises $53 Mn In Fresh Seed Funding,,$53M,2023-12-31,,,businessworld.in,https://www.businessworld.in/article/vishal-sikka-s-hang-ten-systems-raises-53-mn-in-fresh-seed-funding-624118,Raised a $53M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-17,High
Isometric,,AI,Series A,funding,Isometric Raises $50 Million Series A With ICE Backing,,$50M,2026-09-15,,,esgnews.com,https://esgnews.com/isometric-raises-50-million-series-a-with-ice-backing/,Raised a $50M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-17,High
Ex-Google and Adyen engineers’ Creem,,AI,Seed,funding,Ex-Google and Adyen engineers’ Creem raises €5M after doubling revenue to €2M ARR,,,2026-09-16,,,techfundingnews.com,https://techfundingnews.com/creem-raises-5m-seed-inovo-vc-ai-billing-agents-mcp/,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-17,High
Treble,,AI,Series A,funding,Treble Raises $18M to Expand Its Acoustic Simulation Platform for Physical AI,,$18M,2026-09-17,,,audioxpress.com,https://audioxpress.com/news/treble-raises-m-to-expand-its-acoustic-simulation-platform-for-physical-ai | https://tradersunion.com/news/financial-news/show/3364584-treble-raises-18m-voice-simulation-expansion/,Raised a $18M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-17,High
OriginalVoices,,AI,Pre-Seed,funding,OriginalVoices raises £1M pre-seed round led by Iona Star,,,2026-09-15,founder and,CEO,tech.eu,https://tech.eu/2026/09/15/originalvoices-raises-ps1m-pre-seed-round-led-by-iona-star/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-09-17,Low
Orbits,,AI,Pre-Seed,funding,Orbits Raises $2.6 Million Pre-Seed Round to Bring an AI Assistant to the Household,,$2.6M,2026-09-16,Founded by CEO Nomaan Ahmed and,CTO,PR Newswire,https://www.prnewswire.com/news-releases/orbits-raises-2-6-million-pre-seed-round-to-bring-an-ai-assistant-to-the-household-302880247.html,Raised a $2.6M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-09-17,Low
Creem,,AI,Pre-Seed,funding,Creem secures €5M to build financial infrastructure for AI-native startups,,,2026-09-16,"Angel investors in the round
included Bolt",founder,tech.eu,https://tech.eu/2026/09/17/creem-secures-eur5m-to-build-financial-infrastructure-for-ai-native-startups/,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-09-17,Low
Tallinn-Based Creem,,AI,Pre-Seed,funding,Tallinn-Based Creem Raises €5M to Build Billing Infrastructure for AI-Native Companies,,$100M,2026-09-17,says Gabriel Ferraz,co-founder,therecursive.com,https://www.therecursive.com/tallinn-based-creem-raises-eur5m-to-build-billing-infrastructure-for-ai-native-companies/,Raised a $100M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-09-17,Low
California-based AI startup Hang Ten,,AI,,funding,"California-based AI startup Hang Ten raises $53M from Temasek-backed Xora, $85M in total",,$53M,2026-09-16,AI services startup founded by former Infosys,,technode.global,https://technode.global/2026/09/17/california-based-ai-startup-hang-ten-raises-53m-from-temasek-backed-xora-85m-in-total/,Raised $53M in funding for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-09-17,Low
Exclusive: Tare,,API,,funding,Exclusive: Tare raises $13 million from Blockchain Capital to manage private credit transactions on the blockchain,,$13M,2026-09-16,,,msn.com,https://www.msn.com/en-us/money/general/exclusive-tare-raises-13-million-from-blockchain-capital-to-manage-private-credit-transactions-on-the-blockchain/ar-AA2cmMpr,Raised $13M in funding for a API platform. This signals active growth and potential need for content and marketing.,50,2026-09-17,Low
