company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Leading SaaS WhatsApp Integrator Cooby,,Automation,Seed,funding,Leading SaaS WhatsApp Integrator Cooby Secures US$1.75 Million in Latest Seed Funding Round to Supercharge Product Development and European Expansion,,$1.75M,2024-06-26,said Wen Shaw,CEO,finance.yahoo.com,https://finance.yahoo.com/news/leading-saas-whatsapp-integrator-cooby-082600517.html,Raised a $1.75M Seed round for a Automation platform. This signals active growth and potential need for content and marketing.,90,2026-07-07,High
TakeUp,,AI,Series A,funding,TakeUp raises Series A funding to expand AI revenue engine for hotels,,$11M,2025-07-28,Bobby Marhamat said,,finance.yahoo.com,https://finance.yahoo.com/news/takeup-raises-series-funding-expand-173524220.html,Raised a $11M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-07,High
Paid,,AI,Seed,funding,Paid Raises $21 Million Seed to Build Infrastructure for the AI Agent Economy,,$21M,2025-09-28,said Manny Medina,CEO,finance.yahoo.com,https://finance.yahoo.com/news/paid-raises-21-million-seed-130000746.html,Raised a $21M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-07,High
AI data platform levels up with funding,,AI,Seed,funding,AI data platform levels up with funding raise,,,2026-07-07,Rhea Loucas,founder,bdaily.co.uk,https://bdaily.co.uk/articles/2026/07/07/ai-data-platform-levels-up-with-funding-raise,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-07-07,High
Prox,,AI,Seed,hiring,"Hiring: Videographer & Creative Producer | Location: San Francisco, CA | YC F25",Videographer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/98423,Hiring a Videographer at a Seed AI company. This suggests investment in content and market education.,80,2026-07-07,High
GoVeda,,AI,Seed,funding,GoVeda Announces Seed Funding to Turn IP Into a Revenue Engine for Future Innovators,,,2026-06-22,,,taiwannews.com.tw,https://www.taiwannews.com.tw/en/news/6386878,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-07-07,High
Dawnguard,,AI,Pre-Seed,funding,Dawnguard Raises $6.3 Million for Security Architecture Automation Platform,,$6.3M,2026-06-30,said Dawnguard,co-founder,securityweek.com,https://www.securityweek.com/dawnguard-raises-6-3-million-for-security-architecture-automation-platform/,Raised a $6.3M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-07,Low
Physical AI startup Mowito,,AI,Pre-Seed,funding,Physical AI startup Mowito raises $3 million in pre-seed funding round,,$3M,2026-07-07,said Puru Rastog,co-founder,business-standard.com,https://www.business-standard.com/companies/news/physical-ai-startup-mowito-raises-3-million-to-scale-industrial-robots-126070700624_1.html | https://entrackr.com/snippets/physical-ai-startup-mowito-raises-3-mn-led-by-version-one-ventures-12141325,Raised a $3M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-07,Low
AI Coding Platform,,AI,Pre-Seed,funding,"AI Coding Platform Raises >$1 Million In Pre-Seed Funding And Grows To Nearly 100,000 Users In Less Than 3 Months",,$1M,2026-07-07,Chief Technical officer and,Co-Founder,iafrica.com,https://iafrica.com/ai-coding-platform-raises-1-million-in-pre-seed-funding-and-grows-to-nearly-100000-users-in-less-than-3-months/,Raised a $1M Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-07-07,Low
SA-linked AI coding startup,,AI,Pre-Seed,funding,SA-linked AI coding startup raises R16m in pre-seed funding,,,2026-07-07,,,bizcommunity.com,https://www.bizcommunity.com/article/sa-linked-ai-coding-startup-raises-r16m-in-pre-seed-funding-953374a,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,60,2026-07-07,Low
UK savings fintech Stoa,,Fintech,Pre-Seed,funding,UK savings fintech Stoa raises £1.8 million,,,2026-07-07,,,finextra.com,https://www.finextra.com/newsarticle/48048/uk-savings-fintech-stoa-raises-18-million,Announced a Pre-Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,60,2026-07-07,Low
US investors will soon,,AI,,funding,"US investors will soon get access to SK Hynix, another memory maker riding the AI boom",,$28B,2026-07-06,,,TechCrunch,https://techcrunch.com/2026/07/06/us-investors-will-soon-get-access-to-sk-hynix-another-memory-maker-riding-the-ai-boom/,Raised $28B in funding for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-07-07,Low
