company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
OpsLevel,,Cybersecurity,Seed,funding,OpsLevel raises $5M to fix DevOps,,$5M,2020-11-17,including the three,co-founder,ca.finance.yahoo.com,https://ca.finance.yahoo.com/news/opslevel-raises-5m-fix-devops-140024586.html,Raised a $5M Seed round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-06-25,High
Parvis,,Fintech,Seed,funding,Parvis raises $2.6 million seed round for blockchain-enabled real estate investment management platform,,$2.6M,2022-06-02,ca former founding,CEO,betakit.com,https://betakit.com/parvis-raises-2-6-million-seed-round-for-blockchain-enabled-real-estate-investment-management-platform/,Raised a $2.6M Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,90,2026-06-25,High
Tilt,,AI,Seed,funding,Tilt Raises $7.1M Seed Round to Launch AI-Powered Direct Indexing Platform,,$7.1M,2025-09-21,said Andrew Peek,CEO,financialpost.com,https://financialpost.com/pmn/business-wire-news-releases-pmn/tilt-raises-7-1m-seed-round-to-launch-ai-powered-direct-indexing-platform,Raised a $7.1M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-25,High
Startup Revora,,AI,Seed,funding,Startup Revora raises $2m in seed funding to build AI platform for e-commerce merchants,,$2M,2026-06-24,photo of Revora,co-founder,dawn.com,https://www.dawn.com/news/2010565,Raised a $2M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-25,High
Vishal Sikka’s AI startup Hang Ten Systems,,AI,Seed,funding,Vishal Sikka’s AI startup Hang Ten Systems raises $32 million led by Mayfield,,$32M,2026-06-24,million led by Mayfield Former Infosys,CEO,msn.com,https://www.msn.com/en-in/news/India/vishal-sikka-s-ai-startup-hang-ten-systems-raises-32-million-led-by-mayfield/ar-AA26ri2X,Raised a $32M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-25,High
Coval,,AI,Series A,funding,Coval Raises $28 Million Series A to Define Safety and Reliability for Autonomous Voice Agents,,$28M,2026-06-24,said Brooke Hopkins,founder,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/coval-raises-28-million-series-130000082.html,Raised a $28M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-25,High
HR tech firm,,Cybersecurity,Seed,funding,HR tech firm raises €1.6m to accelerate UK push from Birmingham base,,,2026-06-25,Jerome Forde,,thebusinessdesk.com,https://www.thebusinessdesk.com/westmidlands/news/2113370-hr-tech-firm-raises-1.6m/,Announced a Seed round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-06-25,High
Seltz,,AI,Seed,funding,Seltz raises $12.5 million to build the search layer that agentic AI actually needs,,$12.5M,2026-06-24,,,startupfortune.com,https://startupfortune.com/seltz-raises-125-million-to-build-the-search-layer-that-agentic-ai-actually-needs/,Raised a $12.5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-25,High
Morocco-based Agenz,,API,Seed,funding,Morocco-based Agenz raises US$5 million seed round to grow its proptech platform,,$5M,2026-06-24,,,msn.com,https://www.msn.com/en-ae/news/other/morocco-based-agenz-raises-us-5-million-seed-round-to-grow-its-proptech-platform/ar-AA26v285,Raised a $5M Seed round for a API platform. This signals active growth and potential need for content and marketing.,80,2026-06-25,High
Mirendil,,AI,Seed,funding,Mirendil raises $200M in one of AI’s biggest seed rounds,,$200M,2026-06-25,,,msn.com,https://www.msn.com/en-us/technology/artificial-intelligence/mirendil-raises-200m-in-one-of-ai-s-biggest-seed-rounds/ar-AA26uonY,Raised a $200M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-25,High
