company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
NRB entrepreneur's fintech startup,,Fintech,Seed,funding,NRB entrepreneur's fintech startup raises $20 million seed round,,$20M,2026-02-15,Garrett Camp,co-founder,thedailystar.net,https://www.thedailystar.net/news/technology/news/nrb-entrepreneurs-fintech-startup-raises-20-million-seed-round-4274411,Raised a $20M Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,90,2026-09-16,High
EUCLYD,,AI,Series A,funding,EUCLYD Raises Over €200 Million Series A To Build Ultra-Efficient AI Infrastructure,,$231M,2026-09-14,Former ASML President and,CEO,pulse2.com,https://pulse2.com/euclyd-raises-over-e200-million-series-a-to-build-ultra-efficient-ai-infrastructure/ | https://finance.yahoo.com/technology/ai/articles/euclyd-secures-over-231m-series-103407573.html,Announced a Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-16,High
Chift,,AI,Series A,funding,Chift raises €10.5M Series A to scale financial connectivity across Europe,,,2026-09-14,Gauthier Henroz,co-founder,tech.eu,https://tech.eu/2026/09/14/chift-raises-eur105m-series-a-to-scale-financial-connectivity-across-europe/,Announced a Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-16,High
Synapse Analytics,,AI,Series A,funding,Synapse Analytics Raises $13M Series A to Expand AI Decisioning Infrastructure for Financial Institutions,,$13M,2026-09-15,founder and,CEO,theaiinsider.tech,https://theaiinsider.tech/2026/09/15/synapse-analytics-raises-13m-series-a-to-expand-ai-decisioning-infrastructure-for-financial-institutions/,Raised a $13M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-16,High
AIUC,,AI,Series A,funding,AIUC raises $40M Series A from Ribbit & First Harmonic to build confidence infrastructure for frontier AI,,$40M,2026-09-15,said Rune Kvist,co-founder,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/aiuc-raises-40m-series-ribbit-130000644.html,Raised a $40M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-16,High
Fin.com,,Fintech,Seed,funding,Fin.com Raises US$20M in Funding to Expand Cross-Border Payments,,$20M,2026-09-16,Expa and Uber,co-founder,fintechnews.ch,https://fintechnews.ch/funding/fin-com-seed-funding-payments/85715/,Raised a $20M Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,90,2026-09-16,High
Callab AI,,AI,Seed,hiring,Hiring: Growth Marketer | Location: UA / PL / LT / EE / FR / ES / Remote (UA; PL; LT; EE; FR; ES) | YC P26,Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/99950,Hiring a Growth Marketer at a Seed AI company. This suggests investment in content and market education.,80,2026-09-16,High
BoomerangHR,,AI,Seed,funding,BoomerangHR Raises $12.7 Million Seed Round for AI-Powered Alumni Management,,$12.7M,2026-09-14,,,citybiz.co,https://www.citybiz.co/article/902372/boomeranghr-raises-12-7-million-seed-round-for-ai-powered-alumni-management/,Raised a $12.7M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-16,High
Semiconductor verification startup VerifAIX,,AI,Seed,funding,Semiconductor verification startup VerifAIX raises $5 Mn in seed round,,$5M,2026-09-15,,,entrackr.com,https://entrackr.com/snippets/semiconductor-verification-startup-verifaix-raises-5-mn-in-seed-round-12538970,Raised a $5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-16,High
Cardiovascular AI Startup Corologic,,AI,Seed,funding,Cardiovascular AI Startup Corologic Raises Seed Funding From Kakao Ventures,,,2026-09-15,,,en.sedaily.com,https://en.sedaily.com/technology/2026/09/15/cardiovascular-ai-startup-corologic-raises-seed-funding,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-16,High
VerifAIX,,AI,Seed,funding,VerifAIX Raises $5 Million in Seed Funding,,$5M,2026-09-16,,,equitypandit.com,https://www.equitypandit.com/verifaix-raises-5-million-in-seed-funding/ | https://techobserver.in/news/startups/verifaix-raises-5-million-ai-chip-verification-329332/,Raised a $5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-16,High
Former Revolut and N26 alumni,,Fintech,Seed,funding,Former Revolut and N26 alumni raise £2.7 million to launch wealth management app,,,2026-09-16,,,finextra.com,https://www.finextra.com/newsarticle/48415/former-revolut-and-n26-alumni-raise-27-million-to-launch-wealth-management-app,Announced a Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,80,2026-09-16,High
Produce8,,Data,Pre-Seed,funding,Produce8 lands $6 million in seed funding to improve digital-first team productivity,,$6M,2022-11-30,,,betakit.com,https://betakit.com/produce8-lands-6-million-in-seed-funding-to-improve-digital-first-team-productivity/,Raised a $6M Pre-Seed round for a Data platform. This signals active growth and potential need for content and marketing.,60,2026-09-16,Low
AEO startup Profound hits unicorn valuation,,AI,,funding,"AEO startup Profound hits unicorn valuation, raises $180M Series D 7 months after last round",,$180M,2026-09-15,,,TechCrunch,https://techcrunch.com/2026/09/15/aeo-startup-profound-hits-unicorn-valuation-raises-180m-series-d-7-months-after-last-round/,Raised $180M in funding for a AI platform. This signals active growth and potential need for content and marketing.,50,2026-09-16,Low
